"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","mg.cm2","phenol","chlavg","ht.diff","meristem","chill1","chill2","species","dvr","tough","thick","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","folin","species.name","drought","drought1","drought2"
"SALPUR_148",14,26,1,3,26.2,0.152,0.182,0.61,0.38,NA,NA,NA,NA,0.0342,"","48",46.4,1,0,1,"SALPUR",12,0.495,0.167,163,136.8,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SALPUR_158",4,18,0,3,22.4,0.151,0.203,0.51,0.91,NA,NA,NA,NA,0.0353,"","48.8",48,1,0,1,"SALPUR",14,0.71,0.177,163,140.6,NA,NA,NA,NA,NA,"Salix purpurea",0,0,0
"SORAME_24",45,59,1,1,65.4,0.095,0.085,0.46,0.55,NA,NA,NA,NA,0.0049,"-0.06","21.875",-1.5,0,0,0,"SORAME",14,0.505,0.09,176,110.6,NA,NA,NA,NA,0.0009493881554725,"Sorbus americana",2,0,1
"SORAME_44",31,45,1,1,49.8,0.114,0.098,0.2,0.3,NA,NA,NA,NA,0.0067,"-0.02","23.85",3.7,0,0,0,"SORAME",14,0.25,0.106,176,126.2,NA,NA,NA,NA,-0.0012243683539093,"Sorbus americana",0,0,0
"SORAME_54",29,48,0,1,48.8,0.08,0.087,0.47,0.44,NA,NA,NA,NA,0.0062,"-0.02","23.3",6.7,0,0,0,"SORAME",19,0.455,0.0835,176,127.2,NA,NA,NA,NA,-0.0012243683539093,"Sorbus americana",0,0,0
"SORAME_84",31,48,1,1,38.6,0.08,0.095,0.29,0.32,NA,NA,NA,NA,0,"-0.01","16.95",2.3,0,0,0,"SORAME",17,0.305,0.0875,176,137.4,NA,NA,NA,NA,-0.00176780748125475,"Sorbus americana",0,0,0
"SORAME_94",29,45,0,1,44.8,0.178,0.071,0.6,0.57,NA,NA,NA,NA,0.0073,"-0.01","24.45",5.7,0,0,0,"SORAME",16,0.585,0.1245,176,131.2,NA,NA,NA,NA,-0.00176780748125475,"Sorbus americana",0,0,0
"SORAME_104",45,59,1,1,39.4,0.126,0.103,0.51,0.37,NA,NA,NA,NA,0.0064,"-0.14","23.475",2.8,0,0,0,"SORAME",14,0.44,0.1145,176,136.6,NA,NA,NA,NA,0.00529690117423609,"Sorbus americana",2,0,1
"SORAME_134",29,48,0,1,55.4,0.084,0.111,0.54,0.41,NA,NA,NA,NA,0.0111,"-0.13","28.375",6.5,0,0,0,"SORAME",19,0.475,0.0975,176,120.6,NA,NA,NA,NA,0.00475346204689064,"Sorbus americana",0,0,0
"SORAME_26",40,53,1,2,50.9,0.105,0.125,0.2,0.22,NA,NA,NA,NA,0,"","17.75",5.7,0,1,0,"SORAME",13,0.21,0.115,177,126.1,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_36",32,43,0,2,50.4,0.118,0.111,0.87,0.43,NA,NA,NA,NA,0.0046,"","21.55",4.8,0,1,0,"SORAME",11,0.65,0.1145,177,126.6,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_46",32,46,1,2,45.4,0.109,0.115,0.23,0.27,NA,NA,NA,NA,0.0046,"","25.35",6.2,0,1,0,"SORAME",14,0.25,0.112,177,131.6,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_56",43,53,0,2,50.6,0.111,0.119,0.17,0.27,NA,NA,NA,NA,0,"","19.85",11.5,0,1,0,"SORAME",10,0.22,0.115,177,126.4,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_76",37,49,0,2,58.3,0.119,0.126,0.42,0.34,NA,NA,NA,NA,0.0044,"","21.35",7.1,0,1,0,"SORAME",12,0.38,0.1225,177,118.7,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_86",37,51,1,2,50.4,0.133,0.12,0.18,0.25,NA,NA,NA,NA,0.0058,"","22.825",1.9,0,1,0,"SORAME",14,0.215,0.1265,177,126.6,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_96",35,43,0,2,43.7,0.117,0.131,0.14,0.17,NA,NA,NA,NA,0.0071,"","24.225",2.7,0,1,0,"SORAME",8,0.155,0.124,177,133.3,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_106",28,43,1,2,44.8,0.117,0.121,0.1,0.22,NA,NA,NA,NA,0.0072,"","24.375",4.6,0,1,0,"SORAME",15,0.16,0.119,177,132.2,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_116",37,49,0,2,57.2,0.127,0.17,0.27,0.4,NA,NA,NA,NA,0.0037,"","20.55",7.6,0,1,0,"SORAME",12,0.335,0.1485,177,119.8,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_126",43,53,1,2,44.1,0.122,0.145,0.44,0.29,NA,NA,NA,NA,0.0158,"","32.825",5.8,0,1,0,"SORAME",10,0.365,0.1335,177,132.9,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_136",40,49,0,2,51.1,0.132,0.145,0.26,0.42,NA,NA,NA,NA,0.0051,"","22.1",7.6,0,1,0,"SORAME",9,0.34,0.1385,177,125.9,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_156",23,40,0,2,52.6,0.116,0.168,0.25,0.42,NA,NA,NA,NA,0.0111,"","28.4",7,0,1,0,"SORAME",17,0.335,0.142,177,124.4,NA,NA,NA,NA,NA,"Sorbus americana",0,0,0
"SORAME_166",35,51,1,2,44.1,0.097,0.168,0.34,0.26,NA,NA,NA,NA,0.0103,"","27.6",13.8,0,1,0,"SORAME",16,0.3,0.1325,177,132.9,NA,NA,NA,NA,NA,"Sorbus americana",2,0,1
"SORAME_18",32,44,0,3,47.7,0.148,0.165,0.34,0.35,NA,NA,NA,NA,0.0063,"","23.45",4.7,0,0,1,"SORAME",12,0.345,0.1565,163,115.3,NA,NA,NA,NA,NA,"Sorbus americana",1,1,0
"SORAME_38",35,49,0,3,57.7,0.174,0.148,0.37,0.33,NA,NA,NA,NA,0.007,"","24.125",7.2,0,0,1,"SORAME",14,0.35,0.161,163,105.3,NA,NA,NA,NA,NA,"Sorbus americana",1,1,0
