"id","budburst","leafout","tx","chill","lo.ht","thick1","thick2","tough1","tough2","budset","shoots","roots","ht.final","chill1","chill2","species","dvr","tough","tough.date","tough.age","bset","budsetdoy","gslength","rgr_final","thick"
"ALNRUG_86",25,43,1,2,25.4,0.133,0.144,0.24,0.25,NA,NA,NA,NA,1,0,"ALNRUG",18,0.245,177,151.6,NA,NA,NA,NA,0.1385
"ALNRUG_96",21,40,0,2,33.8,0.113,0.165,0.45,0.39,NA,NA,NA,NA,1,0,"ALNRUG",19,0.42,177,143.2,NA,NA,NA,NA,0.139
"ALNRUG_106",40,60,1,2,27,0.127,0.179,0.21,0.37,NA,NA,NA,NA,1,0,"ALNRUG",20,0.29,177,150,NA,NA,NA,NA,0.153
"ALNRUG_116",21,40,0,2,27,0.115,0.129,0.26,0.29,NA,NA,NA,NA,1,0,"ALNRUG",19,0.275,177,150,NA,NA,NA,NA,0.122
"ALNRUG_126",28,51,1,2,28.6,0.155,0.152,0.29,0.32,NA,NA,NA,NA,1,0,"ALNRUG",23,0.305,177,148.4,NA,NA,NA,NA,0.1535
"ALNRUG_136",21,40,0,2,20,0.13,0.26,0.21,0.25,NA,NA,NA,NA,1,0,"ALNRUG",19,0.23,177,157,NA,NA,NA,NA,0.195
"ALNRUG_146",21,43,1,2,25.4,0.147,0.153,0.35,0.26,NA,NA,NA,NA,1,0,"ALNRUG",22,0.305,177,151.6,NA,NA,NA,NA,0.15
"ALNRUG_156",25,43,0,2,30.4,0.13,0.145,0.26,0.25,NA,NA,NA,NA,1,0,"ALNRUG",18,0.255,177,146.6,NA,NA,NA,NA,0.1375
"ALNRUG_166",21,43,1,2,25.5,0.127,0.156,0.31,0.27,NA,NA,NA,NA,1,0,"ALNRUG",22,0.29,177,151.5,NA,NA,NA,NA,0.1415
"ALNRUG_18",46,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"ALNRUG",NA,NA,163,NA,NA,NA,NA,NA,NA
"ALNRUG_28",21,39,1,3,29,0.135,0.136,0.29,0.33,NA,NA,NA,NA,0,1,"ALNRUG",18,0.31,163,134,NA,NA,NA,NA,0.1355
"ALNRUG_38",16,32,0,3,25.4,0.123,0.137,0.22,0.29,NA,NA,NA,NA,0,1,"ALNRUG",16,0.255,163,137.6,NA,NA,NA,NA,0.13
"ALNRUG_48",16,53,1,3,22,0.142,0.127,0.22,0.26,NA,NA,NA,NA,0,1,"ALNRUG",37,0.24,163,141,NA,NA,NA,NA,0.1345
